Movie,Year,RunTime,imdb,Genre,votes
CODA,2021,111 minutes,8.1,"Comedy, Drama, Music",93032
The Batman,2022,176 minutes,8.3,"Action, Crime, Drama",318759
RRR (Rise Roar Revolt),2022,187 minutes,9.0,"Action, Drama",49169
Dune: Part One,2021,155 minutes,8.1,"Action, Adventure, Drama",539752
Spider-Man: No Way Home,2021,148 minutes,8.5,"Action, Adventure, Fantasy",579950
Doraibu mai kâ,2021,179 minutes,7.6,Drama,33740
The Godfather,1972,175 minutes,9.2,"Crime, Drama",1770951
Verdens verste menneske,2021,128 minutes,7.9,"Comedy, Drama, Romance",35988
Blade Runner 2049,2017,164 minutes,8.0,"Action, Drama, Mystery",535135
The Dark Knight,2008,152 minutes,9.1,"Action, Crime, Drama",2537858
Once Upon a Time in... Hollywood,2019,161 minutes,7.6,"Comedy, Drama",681732
Zack Snyder's Justice League,2021,242 minutes,8.1,"Action, Adventure, Fantasy",371320
The Shawshank Redemption,1994,142 minutes,9.3,Drama,2571754
Avengers: Endgame,2019,181 minutes,8.4,"Action, Adventure, Drama",1036798
Pulp Fiction,1994,154 minutes,8.9,"Crime, Drama",1974053
Interstellar,2014,169 minutes,8.7,"Adventure, Drama, Sci-Fi",1715917
The Dark Knight Rises,2012,164 minutes,8.4,"Action, Crime, Drama",1642694
Joker,2019,122 minutes,8.4,"Crime, Drama, Thriller",1175253
Batman Begins,2005,140 minutes,8.3,"Action, Crime, Drama",1418138
Harry Potter and the Sorcerer's Stone,2001,152 minutes,7.6,"Adventure, Family, Fantasy",747490
The Godfather: Part II,1974,202 minutes,9.0,"Crime, Drama",1224730
Gisaengchung,2019,132 minutes,8.5,"Comedy, Drama, Horror",733463
American Psycho,2000,102 minutes,7.6,"Crime, Drama, Horror",560077
Blade Runner,1982,117 minutes,8.1,"Action, Drama, Sci-Fi",745519
The Wolf of Wall Street,2013,180 minutes,8.2,"Biography, Comedy, Crime",1331577
Braveheart,1995,178 minutes,8.4,"Biography, Drama, History",1013380
Knives Out,2019,130 minutes,7.9,"Comedy, Crime, Drama",583974
Inception,2010,148 minutes,8.8,"Action, Adventure, Sci-Fi",2257184
Heat,1995,170 minutes,8.3,"Action, Crime, Drama",630727
The Mitchells vs the Machines,2021,113 minutes,7.7,"Animation, Adventure, Comedy",98496
Prisoners,2013,153 minutes,8.1,"Crime, Drama, Mystery",674315
Titanic,1997,194 minutes,7.9,"Drama, Romance",1128271
Fight Club,1999,139 minutes,8.8,Drama,2023822
Kingsman: The Secret Service,2014,129 minutes,7.7,"Action, Adventure, Comedy",649317
Dunkirk,2017,106 minutes,7.8,"Action, Drama, History",627718
Requiem for a Dream,2000,102 minutes,8.3,Drama,817483
Mad Max: Fury Road,2015,120 minutes,8.1,"Action, Adventure, Sci-Fi",963548
Jojo Rabbit,2019,108 minutes,7.9,"Comedy, Drama, War",364432
Avengers: Infinity War,2018,149 minutes,8.5,"Action, Adventure, Sci-Fi",1001437
Inglourious Basterds,2009,153 minutes,8.3,"Adventure, Drama, War",1386513
Django Unchained,2012,165 minutes,8.5,"Drama, Western",1486442
Goodfellas,1990,145 minutes,8.7,"Biography, Crime, Drama",1109737
To Kill a Mockingbird,1962,129 minutes,8.3,"Crime, Drama",310743
The Lord of the Rings: The Fellowship of the Ring,2001,178 minutes,8.9,"Action, Adventure, Drama",1790697
The Gentlemen,2019,113 minutes,7.8,"Action, Comedy, Crime",309378
Deadpool,2016,108 minutes,8.0,"Action, Adventure, Comedy",990444
The Green Mile,1999,189 minutes,8.6,"Crime, Drama, Fantasy",1250579
